issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
77,2,95,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
125,2,105,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
145,1,100,0.0,3.278688524590164,2.898550724637681,1.6666666666666667,0.0,0.0
155,7,96,14.285714285714285,25.0,25.0,100.0,27.487633291429088,14.285714285714285
212,2,114,0.0,22.222222222222225,20.0,14.285714285714285,0.0,0.0
305,1,127,100.0,100.0,100.0,100.0,100.0,100.0
330,1,142,0.0,9.523809523809524,9.523809523809524,6.666666666666667,0.0,0.0
397,1,154,100.0,100.0,100.0,100.0,100.0,100.0
409,2,164,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
480,3,183,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
510,1,186,100.0,100.0,100.0,100.0,100.0,100.0
553,1,180,0.0,5.2631578947368425,4.761904761904762,3.125,0.0,0.0
765,4,231,75.0,75.0,75.0,100.0,83.18724637288825,75.0
831,1,223,100.0,50.0,66.66666666666666,100.0,100.0,100.0
865,3,231,33.33333333333333,40.0,40.0,100.0,46.92787260227564,33.33333333333333
970,1,232,100.0,100.0,100.0,100.0,100.0,100.0
1023,1,235,0.0,25.0,25.0,14.285714285714285,0.0,0.0
1150,3,227,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
1176,4,214,50.0,57.14285714285715,57.14285714285715,50.0,44.14924137367808,50.0
1324,2,183,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
1511,3,139,100.0,100.0,100.0,100.0,100.0,100.0
1520,6,138,16.666666666666664,28.57142857142857,28.57142857142857,100.0,30.260241349881344,16.666666666666664
1588,1,124,100.0,100.0,100.0,100.0,100.0,100.0
1630,2,128,50.0,40.0,50.0,50.0,38.68528072345416,50.0
2100,1,112,100.0,50.0,50.0,100.0,100.0,100.0
2308,3,141,66.66666666666666,66.66666666666666,80.0,100.0,76.53606369886216,66.66666666666666
2475,1,163,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
2476,1,163,100.0,100.0,100.0,100.0,100.0,100.0
2607,2,171,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
2786,1,182,100.0,100.0,100.0,100.0,100.0,100.0
3169,6,194,16.666666666666664,28.57142857142857,28.57142857142857,100.0,30.260241349881344,16.666666666666664
3272,1,204,0.0,33.333333333333336,40.0,25.0,0.0,0.0
3278,1,204,100.0,40.0,66.66666666666666,100.0,100.0,100.0
3678,2,183,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
3978,3,177,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
4139,6,179,16.666666666666664,25.0,25.0,100.0,30.260241349881344,16.666666666666664
4515,1,159,100.0,66.66666666666666,100.0,100.0,100.0,100.0
4876,3,221,33.33333333333333,40.0,50.0,100.0,46.92787260227564,33.33333333333333
5269,1,238,100.0,100.0,100.0,100.0,100.0,100.0
5587,1,261,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
5652,7,259,0.0,7.407407407407408,7.6923076923076925,7.142857142857142,0.0,0.0
5676,1,262,0.0,28.57142857142857,25.0,16.666666666666664,0.0,0.0
5886,6,258,66.66666666666666,72.72727272727272,72.72727272727272,100.0,74.09096387260823,66.66666666666666
5990,1,264,100.0,100.0,100.0,100.0,100.0,100.0
6042,2,263,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
6430,7,303,14.285714285714285,25.0,25.0,100.0,27.487633291429088,14.285714285714285
6434,3,304,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
6659,7,315,28.57142857142857,44.44444444444445,44.44444444444445,100.0,44.83039899025303,28.57142857142857
6675,1,316,100.0,100.0,100.0,100.0,100.0,100.0
6769,4,320,0.0,13.333333333333334,14.285714285714288,11.11111111111111,0.0,0.0
6774,5,320,20.000000000000004,28.571428571428577,28.571428571428577,50.0,21.398626473452754,20.0
6888,1,307,100.0,100.0,100.0,100.0,100.0,100.0
6966,1,303,0.0,20.0,25.0,14.285714285714285,0.0,0.0
7386,2,269,50.0,50.0,50.0,50.0,38.68528072345416,50.0
7438,3,258,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
7474,4,246,75.0,75.0,66.66666666666666,100.0,83.18724637288825,75.0
7644,6,236,66.66666666666666,80.0,80.0,100.0,77.51482523375255,66.66666666666666
7663,2,235,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
7678,4,223,25.0,40.0,40.0,100.0,39.038004999210166,25.0
7682,4,223,25.0,40.0,40.0,100.0,39.038004999210166,25.0
7746,1,224,0.0,40.0,40.0,25.0,0.0,0.0
7915,1,212,100.0,100.0,100.0,100.0,100.0,100.0
7935,2,212,100.0,100.0,100.0,100.0,100.0,100.0
7977,2,213,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
8045,5,205,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
8090,1,198,100.0,100.0,100.0,100.0,100.0,100.0
