issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
1231,6,100,0.0,20.689655172413794,20.689655172413794,7.6923076923076925,0.0,0.0
1245,1,98,0.0,13.333333333333334,13.333333333333334,7.142857142857142,0.0,0.0
1879,1,140,100.0,33.333333333333336,25.0,100.0,100.0,100.0
2178,2,149,50.0,12.5,11.76470588235294,50.0,38.68528072345416,50.0
2323,1,157,0.0,33.333333333333336,33.333333333333336,33.33333333333333,0.0,0.0
2489,1,157,0.0,8.333333333333332,8.333333333333332,25.0,0.0,0.0
2491,2,157,50.0,16.666666666666668,16.666666666666668,100.0,61.31471927654584,50.0
2578,5,159,60.0,42.857142857142854,42.857142857142854,100.0,72.2726572644952,60.0
2583,2,159,50.0,9.523809523809526,9.523809523809526,50.0,38.68528072345416,50.0
2864,1,159,0.0,33.333333333333336,28.57142857142857,25.0,0.0,0.0
3570,3,160,0.0,11.76470588235294,11.76470588235294,20.0,0.0,0.0
3797,3,165,33.33333333333333,33.33333333333333,33.33333333333333,50.0,29.608191096586523,33.33333333333333
4227,1,159,0.0,1.7543859649122806,1.6528925619834711,0.9523809523809524,0.0,0.0
4822,1,142,100.0,50.0,50.0,100.0,100.0,100.0
4892,1,140,0.0,10.526315789473683,10.526315789473683,5.555555555555555,0.0,0.0
5100,2,134,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
5170,1,132,0.0,15.384615384615385,15.384615384615385,25.0,0.0,0.0
5483,1,126,100.0,50.0,50.0,100.0,100.0,100.0
5619,1,114,100.0,100.0,100.0,100.0,100.0,100.0
5633,2,112,0.0,4.081632653061225,5.194805194805195,1.5151515151515151,0.0,0.0
5777,1,106,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
5836,1,97,0.0,22.22222222222222,18.181818181818183,25.0,0.0,0.0
5837,1,97,0.0,13.333333333333334,12.5,33.33333333333333,0.0,0.0
5947,4,99,0.0,11.76470588235294,12.5,8.333333333333332,0.0,0.0
5978,2,87,0.0,20.0,20.0,25.0,0.0,0.0
5987,1,87,0.0,50.0,50.0,33.33333333333333,0.0,0.0
6007,3,91,66.66666666666666,85.71428571428571,85.71428571428571,50.0,53.072127397724344,66.66666666666666
6058,3,91,66.66666666666666,85.71428571428571,85.71428571428571,50.0,53.072127397724344,66.66666666666666
6090,1,85,0.0,28.57142857142857,28.57142857142857,50.0,0.0,0.0
6113,1,81,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
6231,1,93,0.0,10.0,8.333333333333332,5.263157894736842,0.0,0.0
