Setting,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
Known-K,76.38,3.99,76.38,3.99,76.38,3.99
ABS-mm,74.76,2.81,74.52,7.65,70.88,3.68
REL,70.62,2.37,79.22,6.07,70.25,1.49
MRR,85.54,3.74,0.0,0.0,0.0,0.0
NDCG@K,76.6,3.6,0.0,0.0,0.0,0.0
P@K,75.56,3.38,0.0,0.0,0.0,0.0
