fold,n_train,n_test,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,MRR,NDCG_at_K,P_at_K
1,436,115,78.65,78.65,78.65,80.46,70.39,69.34,70.76,77.96,67.64,90.90916149068323,80.21028985071482,78.53002070393373
2,440,111,85.79,85.79,85.79,79.52,82.8,76.44,66.85,90.22,69.67,96.42642642642643,86.6263293386921,84.27069927069928
3,442,109,77.77,77.77,77.77,81.23,66.28,68.48,72.24,73.92,66.23,88.33879423328965,77.45796603270738,75.98733071210134
4,443,108,80.51,80.51,80.51,69.39,84.1,70.33,57.48,89.14,62.68,92.70943562610229,82.52378202740661,80.60405643738977
5,443,108,80.67,80.67,80.67,80.02,73.83,71.12,69.54,80.07,67.7,92.03112244047917,81.15342199244324,78.74779541446208
