Setting,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
Known-K,80.68,2.78,80.68,2.78,80.68,2.78
ABS-mm,78.12,4.4,75.48,6.94,71.14,2.8
REL,67.37,5.25,82.26,6.38,66.78,2.33
MRR,92.08,2.63,0.0,0.0,0.0,0.0
NDCG@K,81.59,3.01,0.0,0.0,0.0,0.0
P@K,79.63,2.75,0.0,0.0,0.0,0.0
