issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
122,1,208,0.0,2.5,2.5,1.2658227848101267,0.0,0.0
124,1,208,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
219,1,238,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
483,3,308,33.33333333333333,33.33333333333333,25.0,33.33333333333333,23.46393630113782,33.33333333333333
531,1,309,100.0,100.0,100.0,100.0,100.0,100.0
586,1,311,0.0,50.0,50.0,33.33333333333333,0.0,0.0
599,1,317,0.0,0.7017543859649122,0.0,0.3731343283582089,0.0,0.0
641,1,318,0.0,16.666666666666668,25.0,14.285714285714285,0.0,0.0
657,3,320,0.0,20.0,15.384615384615383,14.285714285714285,0.0,0.0
838,1,345,0.0,10.0,13.333333333333334,8.333333333333332,0.0,0.0
921,1,460,0.0,28.57142857142857,28.57142857142857,16.666666666666664,0.0,0.0
1099,4,372,50.0,60.0,66.66666666666666,100.0,55.85075862632192,50.0
1371,4,421,50.0,50.0,50.0,50.0,44.14924137367808,50.0
1549,5,444,0.0,9.75609756097561,9.195402298850576,2.564102564102564,0.0,0.0
1768,7,502,14.285714285714285,20.0,22.222222222222225,100.0,27.487633291429088,14.285714285714285
1928,1,556,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
1950,3,556,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
2055,2,556,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
2426,3,556,66.66666666666666,80.0,80.0,100.0,76.53606369886216,66.66666666666666
2669,1,556,0.0,1.0695187165775402,1.1428571428571428,0.6024096385542169,0.0,0.0
3039,2,555,0.0,1.075268817204301,0.8620689655172413,0.5586592178770949,0.0,0.0
3312,2,553,0.0,18.18181818181818,22.222222222222225,25.0,0.0,0.0
3813,7,539,42.857142857142854,42.10526315789474,42.857142857142854,100.0,51.0227424721404,42.857142857142854
3822,1,539,0.0,2.173913043478261,2.197802197802198,1.2195121951219512,0.0,0.0
3922,1,538,0.0,0.49261083743842365,0.45558086560364464,0.25125628140703515,0.0,0.0
4170,1,538,0.0,10.526315789473683,10.526315789473683,6.25,0.0,0.0
4368,2,534,50.0,50.0,50.0,100.0,61.31471927654584,50.0
4376,1,534,0.0,1.1049723756906078,0.91324200913242,0.5555555555555556,0.0,0.0
4490,2,532,0.0,2.666666666666666,3.076923076923077,1.5873015873015872,0.0,0.0
4648,2,532,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
5081,3,505,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,23.46393630113782,33.33333333333333
5369,1,505,0.0,10.0,11.76470588235294,6.666666666666667,0.0,0.0
5490,1,499,100.0,100.0,100.0,100.0,100.0,100.0
6011,3,481,33.33333333333333,40.0,50.0,100.0,46.92787260227564,33.33333333333333
6723,1,474,0.0,33.333333333333336,33.333333333333336,25.0,0.0,0.0
6879,1,471,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
7014,3,471,0.0,2.5641025641025643,2.5641025641025643,1.3333333333333335,0.0,0.0
7075,1,471,0.0,16.666666666666668,20.0,11.11111111111111,0.0,0.0
7175,1,464,0.0,40.0,33.333333333333336,25.0,0.0,0.0
7222,3,462,33.33333333333333,57.14285714285715,44.44444444444444,33.33333333333333,23.46393630113782,33.33333333333333
7255,2,461,0.0,4.25531914893617,3.508771929824561,2.3255813953488373,0.0,0.0
7332,1,460,0.0,2.2727272727272725,2.2988505747126435,1.1627906976744187,0.0,0.0
7435,1,460,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
7454,3,460,0.0,28.571428571428577,28.571428571428577,25.0,0.0,0.0
7818,4,453,25.0,40.0,40.0,100.0,39.038004999210166,25.0
7913,1,448,100.0,100.0,100.0,100.0,100.0,100.0
8022,2,448,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
8110,1,448,100.0,100.0,100.0,100.0,100.0,100.0
8405,5,438,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
8426,1,438,0.0,11.76470588235294,14.285714285714288,7.6923076923076925,0.0,0.0
8455,1,438,0.0,9.523809523809524,9.523809523809524,5.88235294117647,0.0,0.0
8692,1,430,0.0,0.5037783375314862,0.0,0.2557544757033248,0.0,0.0
8786,2,430,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
8840,1,429,0.0,0.6666666666666666,0.6711409395973154,0.4,0.0,0.0
39394,1,3,100.0,100.0,66.66666666666666,100.0,100.0,100.0
39545,1,3,100.0,100.0,100.0,100.0,100.0,100.0
61332,2,18,50.0,80.0,80.0,100.0,61.31471927654584,50.0
82275,6,24,100.0,100.0,100.0,100.0,100.0,100.0
