fold,n_train,n_test,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,MRR,NDCG_at_K,P_at_K
1,533,138,67.48,67.48,67.48,71.74,59.81,59.67,70.26,65.36,59.2,83.12909797884224,68.83462404229034,66.24741200828157
2,534,137,65.16,65.16,65.16,60.95,66.45,56.48,54.85,69.89,53.8,78.55996187939328,66.49992902431899,65.06951685783802
3,538,133,70.61,70.61,70.61,74.3,62.95,63.01,62.09,74.93,60.06,84.46364420467476,72.24769832107056,70.17901897601145
4,539,132,72.49,72.49,72.49,85.35,60.71,66.07,75.48,71.6,66.55,89.95339996385331,74.81153237714128,71.41594516594517
5,540,131,72.73,72.73,72.73,75.37,68.98,67.26,64.94,75.53,63.24,87.4020500373011,75.35129175395821,73.06252271901127
