Setting,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
Known-K,69.69,2.94,69.69,2.94,69.69,2.94
ABS-mm,73.54,7.81,63.78,3.47,62.5,4.0
REL,65.52,7.04,71.46,3.7,60.57,4.26
MRR,84.7,3.88,0.0,0.0,0.0,0.0
NDCG@K,71.55,3.42,0.0,0.0,0.0,0.0
P@K,69.19,3.05,0.0,0.0,0.0,0.0
