fold,n_test,KnownK_P,KnownK_R,KnownK_F1,KnownK_MRR,KnownK_NDCG,UnknownK_abs_P,UnknownK_abs_R,UnknownK_abs_F1,UnknownK_abs_MRR,UnknownK_abs_NDCG,UnknownK_rel_P,UnknownK_rel_R,UnknownK_rel_F1,UnknownK_rel_MRR,UnknownK_rel_NDCG
Fold1,150,37.17,37.17,37.17,39.67,37.38,83.89,45.92,54.55,85.0,53.66,53.72,32.75,38.11,56.0,37.78
Fold2,148,33.06,33.06,33.06,34.46,33.11,81.76,45.8,54.37,82.09,53.17,54.17,35.77,40.16,56.76,40.38
Fold3,148,35.88,35.88,35.88,37.73,35.78,84.46,47.79,56.6,84.46,55.32,49.83,34.13,38.27,52.7,38.31
Fold4,147,35.92,35.92,35.92,37.41,36.31,81.97,48.27,56.02,82.65,55.18,53.51,36.17,40.17,56.46,40.5
Fold5,145,37.27,37.27,37.27,40.0,37.75,78.1,46.6,53.75,80.92,52.56,50.34,34.17,37.91,52.41,38.02
