fold,n_test,KnownK_P,KnownK_R,KnownK_F1,KnownK_MRR,KnownK_NDCG,UnknownK_abs_P,UnknownK_abs_R,UnknownK_abs_F1,UnknownK_abs_MRR,UnknownK_abs_NDCG,UnknownK_rel_P,UnknownK_rel_R,UnknownK_rel_F1,UnknownK_rel_MRR,UnknownK_rel_NDCG
Fold1,96,53.91,53.91,53.91,57.9,54.45,71.53,58.64,60.78,76.04,61.34,44.44,40.84,40.18,50.52,42.52
Fold2,94,54.96,54.96,54.96,54.79,54.58,70.48,60.41,61.6,71.28,57.53,48.33,45.36,44.14,52.22,43.56
Fold3,94,49.73,49.73,49.73,51.33,49.53,62.13,52.63,53.95,63.07,51.79,40.21,37.68,37.34,42.55,36.87
Fold4,93,48.57,48.57,48.57,50.0,48.54,61.56,54.41,54.48,62.9,49.08,30.86,27.6,27.52,33.33,27.8
Fold5,92,61.76,61.76,61.76,63.04,62.12,78.08,65.02,68.25,78.8,67.87,49.55,46.61,46.64,53.26,48.0
