Setting,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
Known-K,76.96,6.39,76.96,6.39,76.96,6.39
ABS-mm,74.35,5.02,72.45,7.5,68.53,3.73
REL,70.6,4.48,75.52,6.38,67.36,3.85
MRR,88.01,4.7,0.0,0.0,0.0,0.0
NDCG@K,77.7,5.99,0.0,0.0,0.0,0.0
P@K,76.29,5.95,0.0,0.0,0.0,0.0
