fold,n_train,n_test,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,MRR,NDCG_at_K,P_at_K
1,373,96,73.7,73.7,73.7,78.86,71.19,70.26,76.64,75.53,70.98,87.15281123461111,74.377855770484,72.94394841269842
2,375,94,85.5,85.5,85.5,69.04,84.92,70.66,67.36,83.29,69.16,93.45800745661985,84.96341296418828,83.4979736575481
3,375,94,66.89,66.89,66.89,68.97,61.45,61.83,66.61,63.88,61.22,80.12519639369778,68.17688396657779,66.8515704154002
4,376,93,77.44,77.44,77.44,73.57,71.08,67.37,66.93,77.75,64.56,87.17142696603544,78.2821899412401,76.91500256016384
5,377,92,81.29,81.29,81.29,81.29,73.63,72.51,75.48,77.16,70.87,92.14720967438357,82.6783417924261,81.23706004140787
