Setting,Precision,Recall,F1,MRR,NDCG@K
Known-K,37.27,37.27,37.27,40.0,37.75
Unknown-K-abs,78.1,46.6,53.75,80.92,52.56
Unknown-K-rel,50.34,34.17,37.91,52.41,38.02
