Setting,Precision,Recall,F1,MRR,NDCG@K
Known-K,58.33,58.33,58.33,61.21,58.36
Unknown-K-abs,77.87,61.44,64.84,79.31,60.5
Unknown-K-rel,57.47,46.31,48.68,62.07,49.82
