issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
11685,3,589,66.66666666666666,80.0,80.0,100.0,76.53606369886216,66.66666666666666
13098,4,1115,25.0,40.0,40.0,100.0,39.038004999210166,25.0
13513,3,1345,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
14209,4,1776,0.0,1.834862385321101,2.0408163265306123,1.4925373134328357,0.0,0.0
14462,3,1867,0.0,3.6363636363636367,3.225806451612903,1.9230769230769231,0.0,0.0
14969,4,2070,0.0,1.4814814814814816,1.3729977116704806,0.6134969325153374,0.0,0.0
15114,7,2144,0.0,5.128205128205128,5.128205128205128,3.4482758620689653,0.0,0.0
15342,2,2227,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
15582,4,2308,25.0,33.33333333333333,33.33333333333333,50.0,24.630238874072997,25.0
15629,5,2298,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
15686,6,2283,16.666666666666664,22.22222222222222,22.22222222222222,100.0,30.260241349881344,16.666666666666664
15705,1,2277,0.0,50.0,50.0,50.0,0.0,0.0
15715,3,2277,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
15813,1,2233,100.0,100.0,100.0,100.0,100.0,100.0
15877,1,2216,100.0,100.0,100.0,100.0,100.0,100.0
15887,7,2216,14.285714285714285,25.0,25.0,100.0,27.487633291429088,14.285714285714285
15951,1,2175,0.0,0.30721966205837176,0.4184100418410042,0.23094688221709006,0.0,0.0
15969,2,2173,0.0,6.25,7.142857142857144,5.263157894736842,0.0,0.0
15996,2,2166,100.0,80.0,100.0,100.0,100.0,100.0
16000,2,2164,50.0,50.0,50.0,50.0,38.68528072345416,50.0
16008,1,2164,0.0,33.333333333333336,20.0,20.0,0.0,0.0
16044,2,2146,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
16090,4,2137,50.0,57.14285714285715,57.14285714285715,50.0,44.14924137367808,50.0
