fold,n_test,KnownK_P,KnownK_R,KnownK_F1,KnownK_MRR,KnownK_NDCG,UnknownK_abs_P,UnknownK_abs_R,UnknownK_abs_F1,UnknownK_abs_MRR,UnknownK_abs_NDCG,UnknownK_rel_P,UnknownK_rel_R,UnknownK_rel_F1,UnknownK_rel_MRR,UnknownK_rel_NDCG
Fold1,79,42.07,42.07,42.07,44.94,42.05,64.03,45.77,49.37,64.98,47.97,37.97,30.4,31.66,41.77,32.21
Fold2,78,48.03,48.03,48.03,52.35,48.76,72.82,55.39,58.56,75.32,56.85,37.61,30.08,30.39,43.59,33.01
Fold3,77,47.62,47.62,47.62,51.41,47.94,62.12,45.19,47.45,64.29,45.47,38.1,32.8,32.5,41.56,33.26
Fold4,76,46.93,46.93,46.93,50.0,47.32,66.23,49.91,53.12,67.76,52.31,32.24,29.21,29.82,32.89,29.99
Fold5,73,49.0,49.0,49.0,51.6,49.02,67.58,48.86,52.47,69.41,51.8,37.21,33.75,33.55,40.41,35.23
