fold,train_issues,test_issues,actual_epochs,best_val_loss,known_k_f1,abs_mm_f1,abs_mm_th,rel_f1,rel_gamma,mrr,ndcg_at_k,p_at_k
1,230.0,61.0,15.0,2.617911891804801,21.49,13.07,0.94,16.81,0.98,27.84,21.99,21.49
2,232.0,59.0,13.0,2.9086993353234396,13.98,13.9,0.8,13.98,0.78,24.76,14.69,13.98
3,233.0,58.0,17.0,3.3622154543797174,8.1,10.12,0.94,10.86,0.96,17.81,8.88,8.1
4,233.0,58.0,15.0,1.772510318292512,12.47,11.28,0.94,12.04,0.96,22.57,12.67,12.47
5,236.0,55.0,9.0,2.1755114072247554,11.88,10.9,0.94,10.45,0.94,20.72,11.64,11.88
mean,,,,,13.58,11.85,,12.83,,22.74,13.97,13.58
std,,,,,4.4,1.41,,2.34,,3.42,4.42,4.4
