fold,train_issues,test_issues,actual_epochs,best_val_loss,known_k_f1,abs_mm_f1,abs_mm_th,rel_f1,rel_gamma,mrr,ndcg_at_k,p_at_k
1,373.0,96.0,12.0,3.1644836174590245,13.25,13.11,0.9,13.28,0.98,24.44,13.87,13.25
2,375.0,94.0,18.0,2.9661058413571326,13.97,12.61,0.9,12.54,0.9,22.97,14.16,13.97
3,375.0,94.0,7.0,3.2488581168240516,8.13,10.22,0.66,10.24,0.8,17.35,8.22,8.13
4,376.0,93.0,7.0,2.715325127387869,15.75,15.56,0.82,15.39,0.78,26.98,15.71,15.75
5,377.0,92.0,21.0,2.5594940863806626,18.38,13.97,0.94,15.67,0.96,27.27,18.73,18.38
mean,,,,,13.9,13.09,,13.42,,23.8,14.14,13.9
std,,,,,3.38,1.75,,1.99,,3.6,3.42,3.38
