fold,train_issues,test_issues,actual_epochs,best_val_loss,known_k_f1,abs_mm_f1,abs_mm_th,rel_f1,rel_gamma,mrr,ndcg_at_k,p_at_k
1,533.0,138.0,8.0,2.544096910223669,21.27,21.22,0.94,22.07,0.96,35.55,21.8,21.27
2,534.0,137.0,8.0,2.6764809110639045,26.96,21.81,0.94,23.45,0.98,40.88,28.17,26.96
3,538.0,133.0,12.0,2.163158426175312,14.42,10.12,0.94,9.87,0.98,26.43,15.39,14.42
4,539.0,132.0,17.0,2.2778632878512144,17.23,11.44,0.94,11.62,0.94,26.94,17.24,17.23
5,540.0,131.0,12.0,2.3691563886404037,23.52,17.48,0.94,18.05,0.96,36.6,24.01,23.52
mean,,,,,20.68,16.41,,17.01,,33.28,21.32,20.68
std,,,,,4.45,4.85,,5.44,,5.68,4.61,4.45
