Setting,Precision,Recall,F1,MRR,NDCG@K
Known-K,48.03,48.03,48.03,52.35,48.76
Unknown-K-abs,72.82,55.39,58.56,75.32,56.85
Unknown-K-rel,37.61,30.08,30.39,43.59,33.01
