fold,n_test,KnownK_P,KnownK_R,KnownK_F1,KnownK_MRR,KnownK_NDCG,UnknownK_abs_P,UnknownK_abs_R,UnknownK_abs_F1,UnknownK_abs_MRR,UnknownK_abs_NDCG,UnknownK_rel_P,UnknownK_rel_R,UnknownK_rel_F1,UnknownK_rel_MRR,UnknownK_rel_NDCG
Fold1,138,46.4,46.4,46.4,49.64,47.01,79.95,54.25,59.94,81.16,58.94,61.84,45.09,48.61,65.22,49.17
Fold2,137,45.45,45.45,45.45,50.73,46.26,76.28,52.53,57.55,78.1,55.7,43.25,32.22,33.83,47.08,33.97
Fold3,133,48.37,48.37,48.37,51.38,48.67,76.63,51.25,57.58,78.32,56.15,50.38,39.63,41.71,52.26,41.62
Fold4,132,44.68,44.68,44.68,49.49,45.0,78.16,54.16,60.15,80.3,58.87,51.07,38.91,41.75,55.3,42.46
Fold5,131,50.0,50.0,50.0,53.31,50.29,79.39,56.41,62.16,80.15,60.66,51.15,39.1,42.32,52.29,42.13
