fold,n_test,KnownK_P,KnownK_R,KnownK_F1,KnownK_MRR,KnownK_NDCG,UnknownK_abs_P,UnknownK_abs_R,UnknownK_abs_F1,UnknownK_abs_MRR,UnknownK_abs_NDCG,UnknownK_rel_P,UnknownK_rel_R,UnknownK_rel_F1,UnknownK_rel_MRR,UnknownK_rel_NDCG
Fold1,115,50.7,50.7,50.7,51.59,50.4,82.97,54.83,60.95,83.26,59.74,60.87,44.29,47.72,62.61,47.99
Fold2,111,51.5,51.5,51.5,53.6,51.49,87.99,61.79,67.62,90.54,66.44,60.81,44.55,48.17,63.51,48.49
Fold3,109,50.92,50.92,50.92,51.22,50.76,79.97,57.01,60.93,81.35,57.92,52.6,41.28,43.42,55.5,43.43
Fold4,108,58.64,58.64,58.64,59.57,58.56,83.56,63.75,68.34,84.72,67.56,52.38,45.9,46.71,56.94,47.8
Fold5,108,51.6,51.6,51.6,53.24,51.66,87.5,63.68,68.85,88.43,67.07,48.61,34.18,37.36,50.93,37.67
