Setting,Precision,Recall,F1,MRR,NDCG@K
Known-K,49.0,49.0,49.0,51.6,49.02
Unknown-K-abs,67.58,48.86,52.47,69.41,51.8
Unknown-K-rel,37.21,33.75,33.55,40.41,35.23
