fold,n_train,n_test,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,MRR,NDCG_at_K,P_at_K
1,230,61,81.87,81.87,81.87,78.92,82.95,76.96,69.45,88.23,72.61,92.05675712908113,81.39376011576208,79.30132708821233
2,232,59,75.93,75.93,75.93,74.07,69.41,68.75,70.42,75.06,69.28,83.62560226967007,76.204508570283,75.59322033898306
3,233,58,72.84,72.84,72.84,73.28,74.68,70.77,70.29,80.89,71.35,82.08729521181056,73.302322610839,72.60262725779967
4,233,58,71.42,71.42,71.42,76.72,63.05,65.91,75.02,70.4,68.65,82.61637309051102,72.1736087851744,71.02627257799672
5,236,55,79.85,79.85,79.85,70.79,82.52,72.03,67.92,81.52,69.37,87.33549783549782,79.92611520549552,79.26406926406926
