fold,train_issues,test_issues,actual_epochs,best_val_loss,known_k_f1,abs_mm_f1,abs_mm_th,rel_f1,rel_gamma,mrr,ndcg_at_k,p_at_k
1,436.0,115.0,15.0,2.2443539071828127,27.78,21.5,0.94,23.51,0.96,43.96,29.17,27.78
2,440.0,111.0,15.0,2.1326041392436843,32.66,24.48,0.94,24.51,0.94,46.48,33.52,32.66
3,442.0,109.0,10.0,2.021015827248736,26.92,27.31,0.94,27.79,0.96,41.97,28.02,26.92
4,443.0,108.0,9.0,2.2420137921082124,30.8,26.32,0.94,26.61,0.94,47.85,32.41,30.8
5,443.0,108.0,19.0,2.161208436780033,23.67,19.67,0.94,22.32,0.98,42.76,25.15,23.67
mean,,,,,28.37,23.86,,24.95,,44.6,29.65,28.37
std,,,,,3.13,2.88,,2.0,,2.23,3.02,3.13
