fold,n_test,KnownK_P,KnownK_R,KnownK_F1,KnownK_MRR,KnownK_NDCG,UnknownK_abs_P,UnknownK_abs_R,UnknownK_abs_F1,UnknownK_abs_MRR,UnknownK_abs_NDCG,UnknownK_rel_P,UnknownK_rel_R,UnknownK_rel_F1,UnknownK_rel_MRR,UnknownK_rel_NDCG
Fold1,61,50.12,50.12,50.12,52.46,50.15,65.57,49.92,53.69,65.57,51.61,47.54,36.75,39.59,47.54,39.04
Fold2,59,55.65,55.65,55.65,56.78,55.58,74.58,57.02,61.36,75.42,59.62,60.59,50.89,52.75,64.41,54.06
Fold3,58,58.33,58.33,58.33,61.21,58.36,77.87,61.44,64.84,79.31,60.5,57.47,46.31,48.68,62.07,49.82
Fold4,58,47.41,47.41,47.41,49.14,47.4,75.86,57.48,62.0,79.31,60.39,58.91,46.32,49.25,61.21,47.72
Fold5,55,60.0,60.0,60.0,62.42,59.89,84.55,67.99,72.21,84.55,70.01,60.0,48.59,51.42,63.64,51.19
