fold,n_train,n_test,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,MRR,NDCG_at_K,P_at_K
1,304,79,73.09,73.09,73.09,75.04,63.04,63.28,67.84,71.57,63.37,85.25368091823788,73.47805938471569,71.53405666063894
2,305,78,63.68,63.68,63.68,63.91,68.56,60.58,59.7,69.1,58.1,79.69235129949416,65.0237555716909,63.11050061050062
3,306,77,67.96,67.96,67.96,69.79,66.14,62.47,70.39,65.96,62.34,81.3615136089801,69.33226460983381,67.85714285714285
4,307,76,70.13,70.13,70.13,60.98,76.41,61.0,61.24,77.51,60.31,82.96892306180231,69.17476464948246,67.13659147869674
5,310,73,73.61,73.61,73.61,77.72,71.35,69.52,68.29,72.76,64.11,87.24263179742631,75.40334235570292,73.68884540117416
