fold,train_issues,test_issues,actual_epochs,best_val_loss,known_k_f1,abs_mm_f1,abs_mm_th,rel_f1,rel_gamma,mrr,ndcg_at_k,p_at_k
1,588.0,150.0,14.0,1.7453714795410633,16.01,10.66,0.94,13.28,0.98,30.36,17.1,16.01
2,590.0,148.0,10.0,2.025205048348974,25.12,14.37,0.94,16.03,0.98,44.27,26.91,25.12
3,590.0,148.0,15.0,1.787485711495666,21.33,11.89,0.94,12.75,0.98,39.26,22.88,21.33
4,591.0,147.0,17.0,1.9376329303435658,25.12,12.81,0.94,15.49,0.98,41.86,27.0,25.12
5,593.0,145.0,13.0,1.8535496905662012,26.74,12.36,0.94,14.37,0.98,43.18,28.51,26.74
mean,,,,,22.86,12.42,,14.38,,39.79,24.48,22.86
std,,,,,3.86,1.21,,1.25,,5.0,4.14,3.86
