fold,train_issues,test_issues,actual_epochs,best_val_loss,known_k_f1,abs_mm_f1,abs_mm_th,rel_f1,rel_gamma,mrr,ndcg_at_k,p_at_k
1,304.0,79.0,13.0,2.7250952455732556,17.53,10.8,0.92,13.31,0.98,28.94,18.75,17.53
2,305.0,78.0,12.0,2.574740987133097,9.62,7.11,0.58,7.08,0.5,17.48,9.95,9.62
3,306.0,77.0,22.0,2.521607589390543,11.73,7.95,0.94,9.91,0.98,20.78,12.24,11.73
4,307.0,76.0,7.0,2.6563062454972948,8.55,9.58,0.7,9.64,0.66,16.89,8.11,8.55
5,310.0,73.0,12.0,2.4609140072550093,11.3,9.96,0.88,9.9,0.82,22.3,11.84,11.3
mean,,,,,11.75,9.08,,9.97,,21.28,12.18,11.75
std,,,,,3.11,1.35,,1.98,,4.33,3.6,3.11
