Setting,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
Known-K,69.69,3.64,69.69,3.64,69.69,3.64
ABS-mm,69.49,6.36,69.1,4.57,63.37,3.23
REL,65.49,4.22,71.38,3.85,61.65,2.19
MRR,83.3,2.69,0.0,0.0,0.0,0.0
NDCG@K,70.48,3.63,0.0,0.0,0.0,0.0
P@K,68.67,3.67,0.0,0.0,0.0,0.0
