fold,n_train,n_test,KnownK_P,KnownK_R,KnownK_F1,ABSmm_P,ABSmm_R,ABSmm_F1,REL_P,REL_R,REL_F1,MRR,NDCG_at_K,P_at_K
1,588,150,66.55,66.55,66.55,64.25,71.32,59.75,34.16,78.92,36.65,89.38350353350353,71.92802106502057,68.08730158730158
2,590,148,65.01,65.01,65.01,65.12,67.05,56.72,46.92,74.61,44.81,89.63457245428074,69.97889139253323,65.56145431145431
3,590,148,64.0,64.0,64.0,75.03,59.15,59.36,55.4,67.93,50.68,90.64385687278946,71.18842563535999,66.38191763191762
4,591,147,65.22,65.22,65.22,72.8,64.23,59.96,68.88,65.58,55.64,90.68828036456468,71.09583264183985,66.45286686103013
5,593,145,67.33,67.33,67.33,63.6,69.55,60.25,42.87,79.85,44.98,87.2794866256506,72.33688754240721,69.02298850574712
