Setting,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
Known-K,65.62,1.18,65.62,1.18,65.62,1.18
ABS-mm,68.16,4.78,66.26,4.28,59.21,1.28
REL,49.65,11.8,73.38,5.74,46.55,6.37
MRR,89.53,1.24,0.0,0.0,0.0,0.0
NDCG@K,71.31,0.81,0.0,0.0,0.0,0.0
P@K,67.1,1.26,0.0,0.0,0.0,0.0
